Date,NewCases,Lockdown,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14
30-01-2020,0.0,0.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,20.0,20.0,21.0,21.0,17.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0,30.0,33.0,37.0,43.0,54.0,52.0
31-01-2020,0.0,0.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,20.0,20.0,21.0,21.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0,30.0,33.0,37.0,43.0,54.0
01-02-2020,0.0,0.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,20.0,20.0,21.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0,30.0,33.0,37.0,43.0
02-02-2020,0.0,0.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,20.0,20.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0,30.0,33.0,37.0
03-02-2020,0.0,0.0,25.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,20.0,27.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0,30.0,33.0
04-02-2020,0.0,0.0,23.0,25.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,23.0,29.0,27.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0,30.0
05-02-2020,0.0,0.0,25.0,23.0,25.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,24.0,30.0,29.0,27.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0,33.0
06-02-2020,0.0,0.0,24.0,25.0,23.0,25.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,23.0,29.0,30.0,29.0,27.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0,35.0
07-02-2020,0.0,0.0,24.0,24.0,25.0,23.0,25.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,23.0,26.0,29.0,30.0,29.0,27.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0,34.0
08-02-2020,0.0,0.0,22.0,24.0,24.0,25.0,23.0,25.0,22.0,22.0,23.0,23.0,22.0,20.0,26.0,25.0,23.0,26.0,26.0,29.0,30.0,29.0,27.0,27.0,24.0,31.0,32.0,43.0,50.0,37.0,30.0,28.0
